"filename", "language", "JavaScript", "JavaScript React", "CSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\A\Desktop\ecomm\ecommerce\src\fonts\fonts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\A\Desktop\ecomm\ecommerce\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\A\Desktop\ecomm\ecommerce\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Admin.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Cart.jsx", "JavaScript React", 0, 125, 0, 0, 0, 0, 0, 0, 7, 132
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Checkout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Favorites.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Home.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Login.jsx", "JavaScript React", 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\ProductPage.jsx", "JavaScript React", 0, 209, 0, 0, 0, 0, 0, 0, 13, 222
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Products.jsx", "JavaScript React", 0, 104, 0, 0, 0, 0, 0, 0, 9, 113
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Register.jsx", "JavaScript React", 0, 71, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\user.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\cartRedux.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\favoritesSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\store.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\userSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\A\Desktop\ecomm\ecommerce\src\responsive.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\A\Desktop\ecomm\ecommerce\src\services\services.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 618, 1968, 45, 1, 32564, 38, 20, 50, 278, 35582
