"filename", "language", "JavaScript", "JavaScript React", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Home.jsx", "JavaScript React", 0, 11, 0, 0, 0, 21, 11, 43
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Login.jsx", "JavaScript React", 0, 38, 0, 0, 0, 22, 3, 63
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\ProductPage.jsx", "JavaScript React", 0, 22, 0, 0, 0, 44, 13, 79
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Products.jsx", "JavaScript React", 0, -1, 0, 0, 0, 24, 7, 30
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Register.jsx", "JavaScript React", 0, 27, 0, 0, 0, 11, 6, 44
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\user.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\apiCalls.js", "JavaScript", 52, 0, 0, 0, 0, 21, 4, 77
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\cartRedux.js", "JavaScript", 51, 0, 0, 0, 0, 32, 1, 84
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\favoriteRedux.js", "JavaScript", 74, 0, 0, 0, 0, 19, 6, 99
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\favoritesSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\store.js", "JavaScript", 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\userRedux.js", "JavaScript", 61, 0, 0, 0, 0, 0, 5, 66
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\userSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\A\Desktop\ecomm\ecommerce\src\responsive.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\A\Desktop\ecomm\ecommerce\src\services.js", "JavaScript", 13, 0, 0, 0, 0, 2, 4, 19
"c:\Users\A\Desktop\ecomm\ecommerce\src\services\services.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", -223, 369, -32564, -38, -20, 535, 100, -31841
